enfermedad,sintomas
Atrapamiento de la arteria poplítea,"El síntoma principal del síndrome de pinzamiento de la arteria poplítea es dolor o calambres en la parte posterior de la parte inferior de la pierna. La parte posterior de la parte inferior de la pierna se llama pantorrilla. El dolor muscular se produce al realizar ejercicio y desaparece al descansar. Otros síntomas pueden incluir:
Pies fríos después de realizar ejercicio.
Hormigueo o ardor en la pantorrilla.
Entumecimiento en el área de la pantorrilla.
Si la vena cercana, llamada vena poplítea, también queda pinzada por el músculo de la pantorrilla, puedes presentar:
Sensación de pesadez en la pierna.
Calambres en la parte inferior de la pierna durante la noche.
Hinchazón en el área de la pantorrilla.
Cambios en el color de la piel alrededor del músculo de la pantorrilla.
Coágulos de sangre en la parte inferior de la pierna, llamado trombosis venosa profunda.
Los síntomas suelen afectar a las personas jóvenes, por lo demás sanas, menores de 40 años.
Cuándo debes consultar con un médico
Programa una cita para un control médico si tienes algún tipo de dolor de pierna. Esto es sumamente importante si tienes calambres en las pantorrillas o los pies durante la actividad que mejoran con el reposo.
Solicite una consulta

Causas
La causa del síndrome de atrapamiento de la arteria poplítea es un músculo anormal de la pantorrilla, generalmente el músculo gastrocnemio.
La afección puede manifestarse al nacer o más adelante en la vida. Cuando se presenta al nacer, el músculo de la pantorrilla del bebé o la arteria cercana se forman en el lugar equivocado durante el embarazo. Las personas que presentan la afección más tarde en la vida tienen el músculo de la pantorrilla más grande de lo normal.
Los cambios en el músculo de la pantorrilla hacen que presione la arteria principal detrás de la rodilla. Esto reduce el flujo sanguíneo a la parte inferior de la pierna. La falta de flujo sanguíneo causa dolor y calambres en la parte posterior e inferior de la pierna durante los momentos de actividad.
Factores de riesgo
El síndrome de atrapamiento de la arteria poplítea es poco frecuente. Los siguientes aspectos aumentan el riesgo de tener esta afección.
Edad temprana. La afección se observa con mayor frecuencia en personas que se encuentran en la adolescencia tardía o en los 20 años de edad. Rara vez se diagnostica en personas mayores de 40 años.
Ser hombre. El PAES puede ocurrir en cualquier persona, pero es mucho más común en hombres jóvenes.
Actividad atlética vigorosa. Los corredores, ciclistas y atletas que tratan de ganar músculo rápido con rutinas de entrenamiento con pesas o entrenamiento de circuito de alta intensidad corren el mayor riesgo.
Complicaciones
La presión a largo plazo sobre la arteria poplítea puede hacer que se estreche. Esto se conoce como estenosis de la arteria. Puede que tenga dolores y calambres al hacer actividades que requieren poco esfuerzo, como caminar.
En casos graves o cuando no se diagnostica, los nervios y músculos de la pierna pueden dañarse. Pueden aparecer coágulos sanguíneos en la parte inferior de la pierna. Los atletas mayores con síntomas de síndrome de atrapamiento de la arteria poplítea deben hacerse controles para detectar un abombamiento o protrusión de la arteria. Esto se llama aneurisma de la arteria poplítea. Es frecuente en los hombres mayores.



Escrito por el personal de Mayo Clinic
"
Atresia pulmonar,
Atresia pulmonar con comunicación interventricular,
Atresia pulmonar con septo ventricular intacto,
Atresia tricuspídea,
Atrofia cortical posterior,
Atrofia multisistémica,
Atrofia vaginal,
Autolesiones/cortes,"Los síntomas de autolesión pueden incluir los siguientes:
Tener cicatrices, a menudo en patrones.
Tener cortes, arañazos, moretones, mordeduras u otras heridas recientes.
Frotar de manera excesiva una zona para producir una quemadura.
Tener a mano objetos filosos u otras cosas que se utilizan para autolesionarse.
Usar mangas largas o pantalones largos para ocultar la autolesión, incluso cuando hace calor.
Hacer informes frecuentes de lesiones accidentales.
Tener dificultades para relacionarse con los demás.
Presentar conductas y emociones que cambian rápidamente y que son impulsivas, intensas e inesperadas.
Hablar de impotencia, desesperanza o inutilidad.
Formas de autolesión
Las autolesiones suelen producirse en privado. Normalmente, se hacen de forma controlada o de la misma manera cada vez, lo que deja un patrón en la piel. Algunos ejemplos de autolesiones incluyen:
Cortarse, rasparse o pincharse con un objeto punzante. Este es uno de los métodos más comunes.
Quemarse con fósforos, cigarrillos o con objetos punzantes calientes, como cuchillos.
Tallarse palabras o símbolos en la piel.
Darse golpes o puñetazos a sí mismo, morderse, golpearse la cabeza.
Perforar la piel con objetos punzantes.
Insertar objetos debajo de la piel.
Los brazos, las piernas, el pecho y el abdomen son las zonas más frecuentes de autolesión. Pero cualquier zona del cuerpo puede ser objeto de autolesión. A veces, se usa más de un método.
Si la persona se altera, esto puede desencadenar el impulso de autolesionarse. Muchas personas se autolesionan solo algunas veces y luego dejan de hacerlo. Pero para otras, autolesionarse se puede convertir en una conducta repetida y de largo plazo.
Cuándo debes consultar con un médico
Si te autolesionas, incluso de manera leve, o si piensas en lastimarte, pide ayuda. Cualquier tipo de autolesión es un signo de factores de estrés más importantes que necesitan atención.
Habla con alguien de confianza, como un amigo, miembro de la familia, proveedor de atención médica, líder espiritual o un consejero escolar, miembro del personal de enfermería o maestro. Ellos pueden ayudarte a dar los primeros pasos para que el tratamiento sea exitoso. Aunque te sientas avergonzado por tu comportamiento, puedes encontrar apoyo y ayuda de personas que no te van a juzgar.
Cuando un amigo o miembro de la familia se autolesiona
Si tienes un amigo o miembro de la familia que se autolesiona, es posible que te sientas conmocionado y asustado. Tómate en serio cualquier conversación sobre las autolesiones. Aunque es posible que sientas que estarías traicionando la confianza de alguien, las autolesiones son un problema demasiado grave como para ignorarlo o afrontarlo en solitario. Aquí tienes algunas maneras de ayudar.
A tu hijo. Puedes comenzar por hablar con el pediatra u otro proveedor de atención médica que pueda hacer una evaluación inicial o remitirte a un profesional de salud mental. Expresa tu preocupación, pero no le grites a tu hijo ni lo amenaces o acuses.
A un amigo preadolescente o adolescente. Sugiérele a tu amigo que hable con los padres, un maestro, un consejero escolar u otro adulto de confianza.
A un adulto. Expresa tu preocupación con cautela y anima a la persona a buscar tratamiento médico y de salud mental.
Cuándo obtener ayuda de emergencia
Si te has lesionado gravemente o crees que la lesión puede ser mortal, o si crees que podrías lastimarte o intentar cometer suicidio, llama al 911 o al número de emergencias local de inmediato.
Además, considera estas opciones si tienes pensamientos suicidas:
Llama a un profesional de salud mental si consultas a uno.
Llama a la línea directa para prevención del suicidio. En los Estados Unidos, puedes llamar o enviar un mensaje de texto al 988 para comunicarte con la línea directa 988 para prevención del suicidio y para personas en situación de crisis (988 Suicide & Crisis Lifeline), disponible las 24 horas, los 7 días de la semana. O bien, usa el chat de ayuda en línea Lifeline Chat. Los servicios son gratuitos y confidenciales. La línea directa para prevención del suicidio y para personas en situación de crisis (Suicide & Crisis Lifeline) de los Estados Unidos tiene una línea en español con el número 1-888-628-9454 (llamada gratuita).
Pide ayuda al personal de enfermería o al consejero escolar, a un maestro o un proveedor de atención médica.
Comunícate con un amigo o un familiar cercano.
Ponte en contacto con un líder espiritual u otra persona de tu comunidad religiosa.

Causas
No existe una causa única o simple que lleve a alguien a autolesionarse. En general, las autolesiones pueden deberse a lo siguiente:
Falta de capacidad para afrontar una situación difícil. Las autolesiones que no están relacionadas con el suicidio suelen ser el resultado de no poder afrontar el estrés y el dolor emocional de una forma saludable.
Dificultad para gestionar las emociones. Tener dificultades para controlar, expresar o comprender las emociones puede llevar a la autolesión. La mezcla de emociones que desencadena la autolesión es compleja. Por ejemplo, puede haber sentimientos de inutilidad, soledad, pánico, ira, culpa, rechazo y autodesprecio. Haber recibido acoso o tener dudas sobre la identidad sexual puede ser parte de la mezcla de emociones.
La autolesión puede ser un intento de lograr lo siguiente:
Gestionar o reducir un sufrimiento emocional o ansiedad extremos y brindar una sensación de alivio.
Distraerse de las emociones dolorosas a través del dolor físico.
Sentir control sobre el propio cuerpo, sentimientos o situaciones de la vida.
Sentir algo (lo que sea), aunque sea dolor físico, cuando la persona se siente vacía emocionalmente.
Externalizar sentimientos internos.
Comunicar sentimientos de estrés o depresión al mundo exterior.
Castigarse a uno mismo.
Factores de riesgo
Si bien los adolescentes y los adultos jóvenes tienen más probabilidades de autolesionarse, hay personas de otras edades que también lo hacen. Las autolesiones suelen comenzar en la preadolescencia o en los primeros años de la adolescencia, cuando hay cambios emocionales rápidos, frecuentes e inesperados. Durante este tiempo, los adolescentes enfrentan una mayor presión de grupo, soledad y conflictos con los padres u otras figuras de autoridad.
Estos son algunos de los factores que pueden incrementar el riesgo de autolesiones:
Tener amigos que se autolesionan. Tener amigos que se lesionan intencionalmente hace que sea más probable que una persona comience a hacerlo.
Problemas en la vida. Las experiencias pasadas de descuido, abuso emocional, físico o sexual u otros eventos traumáticos pueden incrementar el riesgo de autolesiones, al igual que crecer y permanecer en un entorno familiar inestable. Otros factores de riesgo son cuestionarse la identidad personal o sexual y el aislamiento social.
Problemas de salud mental. Ser demasiado autocrítico y tener dificultades para resolver problemas aumentan el riesgo de autolesiones. Además, las autolesiones suelen vincularse con determinadas enfermedades de salud mental, como trastorno límite de la personalidad, depresión, trastornos de ansiedad, trastorno por estrés postraumático y trastornos alimentarios.
Consumo de alcohol o drogas ilícitas. Estar bajo la influencia del alcohol o las drogas ilícitas recreativas puede aumentar el riesgo de autolesiones.
Complicaciones
Las autolesiones pueden causar complicaciones, como las siguientes:
Intensificación de los sentimientos de vergüenza, culpa y baja autoestima
Infección, ya sea debido a las heridas o por compartir instrumentos
Cicatrices permanentes u otros daños permanentes en el cuerpo
Intensificación de afecciones y problemas subyacentes, si no reciben el tratamiento adecuado
Lesiones graves que podrían llevar a la muerte
Riesgo de suicidio
La autolesión no suele ser un intento de suicidio, pero puede aumentar el riesgo de suicidio debido a los problemas emocionales que la desencadenan. Además, el patrón de dañar al cuerpo en momentos de aflicción puede aumentar la probabilidad de cometer suicidio.
Prevención
No hay una forma segura de prevenir la conducta de autolesión de una persona. Sin embargo, hay estrategias para reducir el riesgo de autolesión que involucran a las personas y las comunidades. Los padres, familiares, maestros, personal de enfermería escolar, entrenadores o amigos pueden ayudar.
Identifica una persona en riesgo y ofrece tu ayuda. Una persona en riesgo puede aprender cómo manejar mejor el estrés y afrontar los problemas de la vida. La persona puede desarrollar la capacidad de afrontar una situación difícil de manera saludable durante períodos de sufrimiento emocional.
Promueve redes sociales de contención. Sentirse solo y desconectado pueden ser parte de la autolesión. Ayudar a una persona a establecer conexiones saludables con personas que no se autolesionan puede mejorar las habilidades para relacionarse y comunicarse.
Crea consciencia. Infórmate sobre las señales de advertencia de la autolesión y qué puedes hacer cuando sospechas que está ocurriendo.
Anima a tus amigos a buscar ayuda. Los amigos suelen ser leales. Anima a los niños, adolescentes y adultos jóvenes a evitar los secretos y a buscar ayuda si les preocupa un amigo o un familiar.
Habla sobre la influencia de los medios de comunicación. Las noticias de medios de comunicación, la música y otras fuentes de información altamente visibles que muestran casos de autolesión pueden impulsar a los niños y los adultos jóvenes con problemas mentales o emocionales a experimentar. Enseñarles a los niños a desarrollar su pensamiento crítico sobre las influencias de su entorno podría reducir la repercusión perjudicial.



Escrito por el personal de Mayo Clinic
"
Barotraumatismo,
Bazo dilatado (esplenomegalia),"Por lo general, el agrandamiento del bazo no causa signos ni síntomas, pero a veces ocasiona:
Dolor o sensación de presión en la parte superior izquierda del abdomen que puede extenderse al hombro izquierdo
Sensación de saciedad sin haber comido o después de comer una pequeña cantidad porque el bazo presiona el estómago
Niveles bajos de glóbulos rojos (anemia)
Infecciones frecuentes
Sangrado fácil
Cuándo debes consultar a un médico
Acude a tu médico inmediatamente si tienes dolor en la parte superior izquierda del vientre, especialmente si es intenso o el dolor empeora cuando respiras profundamente.
Solicite una consulta

Causas
Varias infecciones y enfermedades pueden causar un agrandamiento del bazo. El aumento puede ser temporal, según el tratamiento. Los factores que contribuyen incluyen los siguientes:
Infecciones virales, como la mononucleosis
Infecciones bacterianas, como la sífilis o una infección del revestimiento interno del corazón (endocarditis)
Infecciones parasitarias, como la malaria
Cirrosis y otras enfermedades que afectan al hígado
Varios tipos de anemia hemolítica, una afección caracterizada por la destrucción temprana de los glóbulos rojos
Cánceres de la sangre, como la leucemia y las neoplasias mieloproliferativas, y linfomas, como la enfermedad de Hodgkin
Trastornos metabólicos, como la enfermedad de Gaucher y la enfermedad de Niemann-Pick
Presión sobre las venas del bazo o del hígado, o un coágulo de sangre en estas venas
Afecciones autoinmunitarias, como el lupus o la sarcoidosis
Cómo funciona el bazo
El bazo se encuentra debajo de la caja torácica junto al estómago en el lado izquierdo del vientre. El tamaño generalmente está relacionado con la altura, peso y sexo.
Este órgano suave y esponjoso realiza varias funciones fundamentales, como:
Filtrar y destruir células sanguíneas envejecidas y dañadas
Evitar las infecciones produciendo glóbulos blancos (linfocitos) y actuando como primera línea de defensa contra los organismos que causan enfermedades
Almacenar glóbulos rojos y plaquetas, que ayudan a que la sangre se coagule
El agrandamiento del bazo afecta cada una de estas funciones. Cuando está agrandado, es posible que el bazo no funcione como de costumbre.
Factores de riesgo
Cualquier persona puede desarrollar un agrandamiento del bazo a cualquier edad, pero ciertos grupos tienen un mayor riesgo, entre ellos:
Niños y adultos jóvenes con infecciones, como la mononucleosis
Personas que tienen la enfermedad de Gaucher, la enfermedad de Niemann-Pick y otros trastornos metabólicos hereditarios que afectan al hígado y al bazo
Las personas que viven en áreas donde la malaria es común o viajan allí
Complicaciones
Las posibles complicaciones del agrandamiento del bazo son:
Infección. El agrandamiento del bazo puede reducir la cantidad de glóbulos rojos, plaquetas y glóbulos blancos sanos en el torrente sanguíneo, lo que provoca infecciones más frecuentes. También es posible que se presente anemia y aumento del sangrado.
Rotura del bazo. Incluso los bazos sanos son blandos y se dañan fácilmente, especialmente en accidentes automovilísticos. La posibilidad de ruptura es mucho mayor cuando el bazo está agrandado. La ruptura del bazo puede provocar una hemorragia en el abdomen que puede poner en riesgo la vida.



  Reciba nuestro boletín informativo gratuito en español
El boletín informativo de Mayo Clinic en español es gratuito y se envía semanalmente por correo electrónico con consejos de salud, recetas deliciosas, descubrimientos médicos y más. Vea un ejemplo del correo electrónico e inscríbase a continuación.
Infórmese acerca del uso de datos en Mayo Clinic.
Suscríbase
Escrito por el personal de Mayo Clinic
"
Blastocystis hominis,
Blefaritis,
Bloqueo de rama,
Bocio,
Bolsas debajo de los ojos,"Los síntomas de las bolsas debajo de los ojos pueden incluir:
Hinchazón leve
Piel flácida o floja
Círculos de color oscuro
Cuándo acudir a un proveedor de atención médica
Quizá no te guste el aspecto de las bolsas debajo de los ojos, pero en general son inofensivas y no requieren atención médica. Consulta a tu proveedor de atención médica si la afección provoca problemas de la vista, irritación o dolores de cabeza, o si está acompañada de un sarpullido en la piel.
El proveedor de atención médica querrá descartar otras causas posibles que contribuyan a la hinchazón, como enfermedad tiroidea, infecciones, enfermedad del tejido conectivo o alergias. Es posible que te remitan a un proveedor de atención médica que se especializa en los ojos (oftalmólogo), en la cirugía plástica o la cirugía plástica de los ojos (cirujano oculoplástico).
Causas
Las bolsas debajo de los ojos aparecen cuando las estructuras de tejido y los músculos que sostienen los párpados se debilitan. La piel puede comenzar a caerse y la grasa que normalmente está alrededor del ojo puede desplazarse a la zona de debajo de los ojos. Además, se puede acumular líquido en el espacio debajo de los ojos, lo que hace que la zona parezca hinchada o inflamada. Hay varios factores que causan o empeoran este efecto, como los siguientes:
Envejecimiento
Retención de líquido, sobre todo al despertar o después de ingerir alimentos salados
Falta de sueño
Alergias
Fumar
Factores genéticos: las bolsas debajo de los ojos pueden ser un rasgo trasmitido de padres a hijos
Enfermedades como la dermatitis, la dermatomiositis, las enfermedades renales y la oftalmopatía tiroidea
Factores de riesgo
Factors that may increase the risk of having bags under the eyes include:
Older age
Fluid retention
Lack of sleep
Allergies
Smoking
Genetics
Medical conditions



  Reciba nuestro boletín informativo gratuito en español
El boletín informativo de Mayo Clinic en español es gratuito y se envía semanalmente por correo electrónico con consejos de salud, recetas deliciosas, descubrimientos médicos y más. Vea un ejemplo del correo electrónico e inscríbase a continuación.
Infórmese acerca del uso de datos en Mayo Clinic.
Suscríbase
Escrito por el personal de Mayo Clinic
"
Botulismo,"Botulismo alimentario
Los síntomas del botulismo por trasmisión alimentaria generalmente comienzan de 12 a 36 horas después de que la toxina ingresa al cuerpo. Sin embargo, según la cantidad de toxina que consumiste, el inicio de los síntomas puede variar desde unas pocas horas hasta unos pocos días.
Los síntomas del botulismo por trasmisión alimentaria incluyen:
Dificultad para tragar o para hablar
Sequedad en la boca
Debilidad facial en ambos lados del rostro
Visión borrosa o visión doble
Caída de los párpados
Dificultad para respirar
Náuseas, vómitos y calambres abdominales
Parálisis
Botulismo por herida
Los síntomas del botulismo por herida aparecen aproximadamente 10 días después de que la toxina ingresa al cuerpo e incluyen los siguientes:
Dificultad para tragar o para hablar
Debilidad facial en ambos lados del rostro
Visión borrosa o doble
Párpados caídos
Dificultad para respirar
Parálisis
Puede que la zona alrededor de la herida no siempre se vea hinchada y que no cambie de color.
Botulismo en bebés
Los problemas suelen comenzar entre 18 y 36 horas después de que la toxina entra en el cuerpo del bebé. Los síntomas son los siguientes:
Estreñimiento, que a menudo es el primer síntoma
Movimientos desmadejados debidos a la debilidad muscular y a problemas para controlar la cabeza
Llanto débil
Irritabilidad
Babeo
Caída de los párpados
Cansancio
Problemas para succionar o alimentarse
Parálisis
Algunos síntomas no suelen presentarse con el botulismo. Por ejemplo, el botulismo, generalmente, no aumenta la presión arterial ni la frecuencia cardíaca, ni causa fiebre ni desorientación. Sin embargo, a veces, el botulismo por herida puede causar fiebre.
Botulismo iatrogénico
En algunos casos inusuales de botulismo iatrogénico, cuando se inyecta la toxina por motivos estéticos o médicos, se han producido efectos secundarios graves. Entre ellos, se incluyen el dolor de cabeza, la parálisis facial y la debilidad muscular.
Cuándo debes consultar con un médico
Busca atención médica urgente si sospechas que tienes botulismo. El tratamiento inicial aumenta las probabilidades de supervivencia y disminuye el riesgo de sufrir complicaciones.
Además, si buscas atención médica de inmediato, esto puede hacer que los funcionarios de salud pública estén atentos a los episodios de botulismo por trasmisión alimentaria y, así, eviten que otras personas coman alimentos contaminados. Sin embargo, debes tener en cuenta que el botulismo no se puede trasmitir de una persona a otra.
La aparición inusual del botulismo, especialmente en personas sin un nexo claro, en un lapso de 12 a 48 horas puede generar sospechas de bioterrorismo.
Solicite una consulta

Causas
Botulismo alimentario
Las fuentes más comunes de botulismo por trasmisión alimentaria son los alimentos caseros mal enlatados o mal conservados. Por lo general estos son frutas, verduras y pescado. Otros alimentos, como los pimientos picantes (chiles), las papas al horno envueltas en papel de aluminio y el aceite infusionado con ajo, también pueden causar botulismo.
Botulismo por herida
Cuando la bacteria C. botulinum ingresa en una herida, esta puede multiplicarse y producir la toxina. Es posible que la herida sea un corte que no se había detectado. O bien, es posible que la herida la haya causado un traumatismo o una cirugía.
El botulismo producido por una herida ha aumentado en las últimas décadas en aquellas personas que se inyectan heroína, ya que esta puede contener esporas de la bacteria. De hecho, esta forma de botulismo es más frecuente en las personas que se inyectan heroína de alquitrán negro.
Botulismo infantil
Los bebés se contagian con botulismo infantil cuando las esporas de la bacteria ingresan en el intestino y producen toxinas. En algunos casos, el origen del botulismo infantil puede ser la miel, pero es más probable que sea la exposición a la tierra contaminada con la bacteria. En casos poco frecuentes, este tipo de botulismo intestinal también afecta a los adultos.
Botulismo iatrogénico
Si bien es poco frecuente, se puede producir botulismo cuando se inyecta demasiada cantidad de toxina botulínica con fines cosméticos, como eliminar arrugas, o por motivos médicos, como tratar migrañas.
Complicaciones
Como afecta el control muscular en el cuerpo, la toxina botulínica puede causar varias complicaciones. El peligro más inmediato es que se pierde la capacidad de respirar. La incapacidad de respirar es una causa frecuente de muerte por botulismo. Otras complicaciones, que pueden requerir rehabilitación, pueden incluir las siguientes:
Dificultad para hablar
Dificultad para tragar
Debilidad persistente
Falta de aire
Prevención
Botulismo por trasmisión alimentaria
Usa las técnicas adecuadas cuando envases o conserves alimentos en casa para asegurarte de eliminar los gérmenes del botulismo. Además, es importante preparar y almacenar los alimentos de forma segura:
Cocina a presión los alimentos enlatados en el hogar a un temperatura de 250° F (121°°C) durante un lapso de 20 a 100 minutes, según el alimento.
Considera hervir estos alimentos durante 10 minutos antes de servirlos.
No comas alimentos en conserva si el envase está hinchado o si el alimento huele mal. Sin embargo, el sabor y el olor no siempre revelan la presencia de Clostridium botulinum. Algunas cepas no hacen que la comida huela mal ni tenga un sabor extraño.
Si envuelves las papas en papel de aluminio antes de hornearlas, consúmelas calientes. O bien, afloja el aluminio y consérvalas en el refrigerador, pero no a temperatura ambiente.
Conserva las infusiones de aceite caseras con ajo o especias en el refrigerador. Deséchalas después de cuatro días.
Refrigera los alimentos enlatados después de abrirlos.
Botulismo por herida
Para prevenir el botulismo de las heridas y otras enfermedades graves de trasmisión sanguínea, nunca te inyectes o inhales drogas ilícitas. Mantén siempre limpias las heridas para prevenir la infección. Si crees que tienes una herida infectada, busca tratamiento médico de inmediato.
Botulismo infantil
Para reducir el riesgo de padecer botulismo infantil, evita darles miel, incluso en pequeñas cantidades, a los niños menores de 1 año.
Botulismo iatrogénico
Para prevenir el botulismo iatrogénico, asegúrate de acudir a un proveedor de atención médica matriculado para cualquier procedimiento cosmético o médico en el que se utilicen varias formas de toxina botulínica. Estas incluyen la toxina onabotulinotoxina A (bótox), la abobotulinotoxina A (Dysport), entre otros.



Escrito por el personal de Mayo Clinic
"
Bradicardia,
